Time (Days),Gas Volume,Oil Volume,Water Volume ,Gas Production,Oil Production
1/1/00,4.45783,0,332,4.45783,0
1/2/00,10.23198,0,482,14.68981,0
1/3/00,11.90695,0,541,26.59676,0
1/4/00,11.73224,0,556,38.329,0
1/5/00,10.88005,0,538,49.20905,0
1/6/00,10.35072,0,513,59.55977,0
1/7/00,9.87737,0,487,69.43714,0
1/8/00,9.45001,0,487.05,78.88715,0
1/9/00,9.21744,0,435,88.10459,0
1/10/00,7.63723,0,315,95.74182,0
1/11/00,8.0456,0,362,103.78742,0
1/12/00,8.06913,0,0,111.85655,0
1/13/00,7.51533,0,272,119.37188,0
1/14/00,7.89041,0,390,127.26229,0
1/15/00,6.6308,0,195,133.89309,0
1/16/00,4.88523,0,200,138.77832,0
1/17/00,4.85302,0,203,143.63134,0
1/18/00,4.89971,0,188,148.53105,0
1/19/00,4.88705,0,207,153.4181,0
1/20/00,4.98209,0,99,158.40019,0
1/21/00,5.51854,0,184,163.91873,0
1/22/00,4.86643,0,150,168.78516,0
1/23/00,5.693,0,170,174.47816,0
1/24/00,5.38449,0,160,179.86265,0
1/25/00,5.42089,0,147,185.28354,0
1/26/00,4.97077,0,154,190.25431,0
1/27/00,6.16486,0,272,196.41917,0
1/28/00,7.19673,0,268,203.6159,0
1/29/00,4.9967,0,269,208.6126,0
1/30/00,5.02007,0,163,213.63267,0
1/31/00,5.05591,0,150,218.68858,0
2/1/00,5.08213,0,158,223.77071,0
2/2/00,4.88569,0,160,228.6564,0
2/3/00,6.10395,0,260,234.76035,0
2/4/00,7.97719,0,290,242.73754,0
2/5/00,7.57686,0,330,250.3144,0
2/6/00,6.78966,0,312,257.10406,0
2/7/00,6.51609,0,278,263.62015,0
2/8/00,3.22014,0,40,266.84029,0
2/9/00,2.87667,0,54,269.71696,0
2/10/00,6.98997,0,300,276.70693,0
2/11/00,5.12501,0,200,281.83194,0
2/12/00,3.33906,0,177,285.171,0
2/13/00,4.50897,0,145,289.67997,0
2/14/00,4.71779,0,122,294.39776,0
2/15/00,2.86693,0,80,297.26469,0
2/16/00,4.29813,0,100,301.56282,0
2/17/00,5.45482,0,96,307.01764,0
2/18/00,2.03325,0,373,309.05089,0
2/21/00,5.54177,0,48,314.59266,0
